City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,spring creek,40.7266,-115.5859,1.6,74,93,1.92,US,1734487018
241,sanctuary point,-35.1114,150.629,20.36,48,11,7.25,AU,1734487220
242,tiruchchendur,8.4833,78.1167,25.16,74,100,0.78,IN,1734487224
243,gebeit,21.0667,36.3167,16.0,88,27,2.43,SD,1734487226
244,kabalo,-6.05,26.9167,20.02,99,100,0.49,CD,1734487228
245,remire-montjoly,4.9167,-52.2667,23.02,100,100,0.0,GF,1734487229
246,lorengau,-2.0226,147.2712,28.88,81,92,6.23,PG,1734487231
247,porto novo,6.4965,2.6036,26.9,77,3,1.51,BJ,1734487233
248,zemio,5.0314,25.1361,25.32,38,82,1.55,CF,1734487235
249,la sarre,48.8002,-79.1996,-5.06,92,99,3.88,CA,1734487236
250,cabedelo,-6.9811,-34.8339,27.37,80,99,3.34,BR,1734487239
251,lepsy,46.235,78.9456,-11.32,83,19,2.54,KZ,1734487240
252,matthew town,20.95,-73.6667,25.41,86,47,7.66,BS,1734487243
253,kagoro,9.6,8.3833,17.59,18,100,2.74,NG,1734487245
254,san sebastian de la gomera,28.0916,-17.1133,22.2,26,0,6.69,ES,1734487246
255,mermoz boabab,14.7065,-17.4758,24.92,45,100,8.08,SN,1734487248
256,tanjung selor,2.8372,117.3642,24.09,99,100,0.89,ID,1734487250
257,hovd,48.0056,91.6419,-20.1,77,9,2.33,MN,1734487251
258,hermanus,-34.4187,19.2345,15.6,71,50,1.09,ZA,1734487254
259,swift current,50.2834,-107.8014,-17.55,78,100,4.63,CA,1734487055
260,birao,10.2849,22.7882,21.15,31,78,2.14,CF,1734487257
261,grantsville,40.5999,-112.4644,2.38,70,0,4.02,US,1734487019
262,yakutsk,62.0339,129.7331,-32.02,75,100,1.0,RU,1734487262
263,khandyga,62.6667,135.6,-33.54,98,99,0.31,RU,1734487265
264,buala,-8.145,159.5921,29.78,72,99,0.82,SB,1734487267
265,moab,38.5733,-109.5498,6.94,41,93,0.7,US,1734487269
266,nadi,-17.8,177.4167,30.0,62,40,5.14,FJ,1734487271
267,saldanha,-33.0117,17.9442,16.35,77,7,7.01,ZA,1734487243
268,grand falls-windsor,48.9332,-55.6649,5.07,88,100,9.78,CA,1734487275
269,maroantsetra,-15.4333,49.7333,23.09,88,100,0.7,MG,1734487276
270,al jawf,29.5,38.75,8.04,23,100,3.14,SA,1734487277
271,inari,68.906,27.0288,-22.62,100,28,1.58,FI,1734487279
272,ipu,-4.3222,-40.7108,23.48,72,84,3.98,BR,1734487280
273,inirida,3.8653,-67.9239,24.72,88,70,0.81,CO,1734487206
274,esqueda,30.7167,-109.5833,12.13,39,51,1.12,MX,1734487284
275,faya-largeau,17.9257,19.1043,16.8,27,97,8.04,TD,1734487285
276,el calafate,-50.3408,-72.2768,8.91,55,4,6.25,AR,1734487288
277,banda aceh,5.5577,95.3222,27.64,77,100,4.02,ID,1734487290
278,sarov,54.9358,43.3235,-11.33,90,100,4.57,RU,1734487293
279,malango,-2.9627,119.9001,27.3,63,71,2.04,ID,1734487295
280,vila franca do campo,37.7167,-25.4333,18.27,99,100,9.3,PT,1734487297
281,fale old settlement,-9.3852,-171.2468,27.1,83,100,7.26,TK,1734487298
282,khangah dogran,31.8317,73.6231,8.26,26,17,1.78,PK,1734487300
283,puerto colombia,10.9878,-74.9547,28.05,85,59,9.14,CO,1734487301
284,colonia,50.9333,6.95,7.2,87,0,5.66,DE,1734487167
285,beaufort west,-32.3567,22.583,13.31,80,50,4.09,ZA,1734487304
286,bela,25.9333,81.9833,12.59,43,1,1.27,IN,1734487306
287,taroa,8.7058,171.2275,27.43,81,34,11.21,MH,1734487308
